brand,price,year,mileage,damage_type,number_of_owners,number_of_services
Dodge,14499,2015,115373,unknown,2,9
Kia,9995,2017,84579,none,1,3
Chevrolet,11995,2017,77315,none,3,13
Nissan,9995,2015,94783,none,1,15
Volkswagen,11977,2021,137978,none,1,13
Honda,7595,2011,136150,none,2,9
Toyota,9990,2014,133785,accident,2,15
Toyota,6999,2010,126008,front,3,16
Toyota,6995,2007,126937,accident,1,28
Toyota,11999,2014,162133,none,1,36
Toyota,5995,2002,126408,none,2,13
Toyota,14495,2016,134783,none,1,31
Honda,16495,2015,37334,unknown,3,9
Honda,6999,2009,148786,front,1,49
Honda,18553,2020,42279,none,2,7
Honda,20933,2021,62620,none,1,3
Honda,18533,2020,42289,none,2,7
Mazda,5999,2012,120311,accident,1,15
Mazda,10500,2015,130761,unknown,3,13
Mazda,23250,2022,29374,none,1,4
Toyota,23999,2023,5768,none,1,4
Toyota,21534,2022,21291,accident,1,6
Toyota,30490,2022,19184,none,1,5
Toyota,8999,2009,139975,none,1,18
Toyota,26912,2024,12674,none,1,1
Ford,15758,2019,63569,unknown,2,12
Ford,8999,2015,102779,none,3,27
Ford,11900,2016,66800,front,3,8
Ford,17888,2020,30482,accident,1,5
Ford,10995,2017,54395,none,1,6
